Nom,Type,Attribut,ATK,DEF,Niveau
"""A"" Cell Breeding Device",Spell Card,,,,
"""A"" Cell Incubator",Spell Card,,,,
"""A"" Cell Recombination Device",Spell Card,,,,
"""A"" Cell Scatter Burst",Spell Card,,,,
"""Infernoble Arms - Almace""",Spell Card,,,,
"""Infernoble Arms - Durendal""",Spell Card,,,,
"""Infernoble Arms - Hauteclere""",Spell Card,,,,
"""Infernoble Arms - Joyeuse""",Spell Card,,,,
1st Movement Solo,Spell Card,,,,
3-Hump Lacooda,Effect Monster,EARTH,500,1500,3
"30,000-Year White Turtle",Normal Monster,WATER,1250,2100,5
7,Spell Card,,,,
7 Colored Fish,Normal Monster,WATER,1800,800,4
7 Completed,Spell Card,,,,
8-Claws Scorpion,Effect Monster,DARK,300,200,2
A Deal with Dark Ruler,Spell Card,,,,
A Feather of the Phoenix,Spell Card,,,,
A Feint Plan,Trap Card,,,,
A Hero Emerges,Trap Card,,,,
A Hero Lives,Spell Card,,,,
A Legendary Ocean,Spell Card,,,,
A Major Upset,Trap Card,,,,
A Man with Wdjat,Effect Monster,DARK,1600,1600,4
A Rival Appears!,Trap Card,,,,
"A Shattered, Colorless Realm",Trap Card,,,,
A Wild Monster Appears!,Spell Card,,,,
A Wingbeat of Giant Dragon,Spell Card,,,,
A-Team: Trap Disposal Unit,Effect Monster,FIRE,300,400,2
A-to-Z Energy Load,Trap Card,,,,
A.I. Challenge You,Trap Card,,,,
A.I. Contact,Spell Card,,,,
A.I. Love Fusion,Spell Card,,,,
A.I. Meet You,Spell Card,,,,
A.I. Shadow,Trap Card,,,,
A.I.'s Ritual,Spell Card,,,,
A.I.'s Show,Trap Card,,,,
A.I.dle Reborn,Spell Card,,,,
A.I.Q,Trap Card,,,,
A/D Changer,Effect Monster,LIGHT,100,100,1
Abaki,Effect Monster,FIRE,1700,1100,4
Abare Ushioni,Effect Monster,EARTH,1200,1200,4
Abominable Chamber of the Unchained,Trap Card,,,,
Abominable Unchained Soul,Effect Monster,DARK,3000,1500,8
Abomination's Prison,Spell Card,,,,
Absolute Crusader,Effect Monster,EARTH,1800,1200,4
Absolute End,Trap Card,,,,
Absolute King - Megaplunder,Normal Monster,EARTH,2000,1500,6
Absolute King Back Jack,Effect Monster,DARK,0,0,1
Absolute Powerforce,Spell Card,,,,
Absorb Fusion,Spell Card,,,,
Absorbing Kid from the Sky,Effect Monster,LIGHT,1300,1000,4
Absorouter Dragon,Effect Monster,DARK,1200,2800,7
Abyss Actors Back Stage,Trap Card,,,,
Abyss Actors' Curtain Call,Trap Card,,,,
Abyss Actors' Dress Rehearsal,Spell Card,,,,
Abyss Flower,Normal Monster,EARTH,750,400,2
Abyss Playhouse - Fantastic Theater,Spell Card,,,,
Abyss Prop - Wild Wagon,Spell Card,,,,
Abyss Script - Abysstainment,Spell Card,,,,
Abyss Script - Dramatic Story,Spell Card,,,,
Abyss Script - Fantasy Magic,Spell Card,,,,
Abyss Script - Fire Dragon's Lair,Spell Card,,,,
Abyss Script - Opening Ceremony,Spell Card,,,,
Abyss Script - Rise of the Abyss King,Spell Card,,,,
Abyss Script - Romantic Terror,Spell Card,,,,
Abyss Shark,Effect Monster,WATER,1200,700,5
Abyss Soldier,Effect Monster,WATER,1800,1300,4
Abyss Stungray,Trap Card,,,,
Abyss Warrior,Effect Monster,WATER,1800,1300,4
Abyss-scale of Cetus,Spell Card,,,,
Abyss-scale of the Kraken,Spell Card,,,,
Abyss-scale of the Mizuchi,Spell Card,,,,
Abyss-scorn,Trap Card,,,,
Abyss-sphere,Trap Card,,,,
Abyss-squall,Trap Card,,,,
